"customer","I_Superscalping","C_Superscalping","R_Superscalping","F_Superscalping","M_Superscalping","I_Scalping","C_Scalping","R_Scalping","F_Scalping","M_Scalping","I_Daytrade","C_Daytrade","R_Daytrade","F_Daytrade","M_Daytrade","I_Swing","C_Swing","R_Swing","F_Swing","M_Swing","I_Position","C_Position","R_Position","F_Position","M_Position","I_US_Open","C_US_Open","R_US_Open","F_US_Open","I_US_Close","C_US_Close","R_US_Close","F_US_Close","M_US_Close","I_Asia_Open","C_Asia_Open","R_Asia_Open","F_Asia_Open","I_Asia_Close","C_Asia_Close","R_Asia_Close","F_Asia_Close","M_Asia_Close","I_Europe_Open","C_Europe_Open","R_Europe_Open","F_Europe_Open","I_Europe_Close","C_Europe_Close","R_Europe_Close","F_Europe_Close","M_Europe_Close","I_majorcurrency","C_majorcurrency","R_majorcurrency","F_majorcurrency","M_majorcurrency","I_minorcurrency","C_minorcurrency","R_minorcurrency","F_minorcurrency","M_minorcurrency","C_trade","R_trade","F_trade","M_trade"
"B58",1,15,1,"1.464","-3.502",1,4,1,"0.179","-1.820",1,10,1,"0.536","-32.006",1,6,6,"0.214","6.069",1,7,0,"1.071","-59.619",1,1,12,"0.071",0,0,27,"0","0",1,17,1,"3.143",1,17,1,"3.393","-85.411",1,7,2,"0.250",1,2,7,"0.071","-5.466",1,10,0,"0.714","-20.478",1,17,1,"2.750","-70.400",17,1,"3.464","-90.878"
"B582",1,18,1,"3.393","0.188",1,7,5,"0.357","-1.271",1,17,1,"2.500","10.115",1,6,3,"0.500","-65.761",1,6,1,"0.964","47.899",1,4,20,"0.143",1,4,1,"0.179","-15.107",1,17,1,"3.821",1,15,1,"3.679","27.372",1,16,1,"3.750",1,16,1,"3.857","-21.095",1,2,0,"0.214","6.445",1,20,1,"7.500","-15.276",20,1,"7.714","-8.831"
"B583",1,20,1,"2.179","15.846",1,5,12,"0.250","-1.791",1,11,1,"0.714","-8.855",1,5,0,"0.286","6.885",1,13,1,"1.679","1.531",1,2,9,"0.071",1,2,6,"0.071","8.619",1,21,1,"4.750",1,21,1,"4.679","-22.171",1,6,2,"0.286",1,8,1,"0.357","27.169",1,17,1,"1.750","6.383",1,20,1,"3.357","7.235",21,1,"5.107","13.617"
"B588",1,10,1,"0.571","-6.545",1,2,1,"0.071","0.592",1,6,1,"0.500","-12.230",1,3,1,"0.107","-10.656",1,9,1,"1.321","-13.691",1,4,5,"0.143",1,3,7,"0.107","2.990",1,13,1,"0.857",1,9,1,"2.000","-36.363",1,19,1,"1.571",1,8,1,"0.464","-9.158",1,11,1,"1.214","-38.584",1,10,1,"1.357","-3.946",16,1,"2.571","-42.530"
"B590",1,17,1,"4.714","-7.220",1,8,8,"0.857","2.959",1,16,1,"3.643","-24.039",1,8,0,"0.821","18.274",1,7,0,"0.786","-22.044",1,12,2,"2.036",1,13,1,"1.893","26.573",1,16,1,"3.214",1,17,1,"3.929","-23.946",1,17,1,"5.571",1,17,1,"5.000","-34.697",1,17,1,"4.857","-7.818",1,18,1,"5.964","-24.253",18,1,"10.821","-32.071"
"B597",1,15,1,"2.643","10.293",1,1,20,"0.036","0.811",1,15,1,"1.607","-44.600",1,6,0,"0.679","-15.264",1,11,0,"1.107","-29.333",1,6,2,"0.250",1,7,1,"0.393","-2.447",1,15,1,"3.071",1,15,1,"3.464","-42.757",1,16,1,"2.750",1,14,1,"2.214","-32.889",1,11,0,"0.821","-21.493",1,17,1,"5.250","-56.600",17,1,"6.071","-78.093"
"B599",1,7,3,"0.679","5.582",1,1,9,"0.036","0.825",1,5,2,"0.214","7.931",1,3,0,"0.107","-4.601",1,7,0,"0.607","-15.513",1,4,8,"0.143",1,2,11,"0.071","-6.342",1,8,3,"0.750",1,7,0,"0.679","-10.905",1,10,3,"0.750",1,8,3,"0.893","11.472",1,4,0,"0.286","-7.734",1,9,0,"1.357","1.958",10,0,"1.643","-5.776"
"B6",1,15,1,"1.393","4.572",0,0,27,"0","0",1,14,1,"0.750","-17.644",1,6,0,"0.286","10.711",1,8,1,"1.036","-72.977",1,3,2,"0.107",1,2,2,"0.071","-5.149",1,15,1,"1.500",1,15,1,"2.179","-66.340",1,19,1,"1.857",1,12,1,"1.214","-3.849",1,11,0,"1.036","-91.495",1,15,1,"2.429","16.157",18,1,"3.464","-75.337"
"B601",1,16,1,"4.464","-54.162",1,2,12,"0.107","-0.710",1,13,1,"1.429","-8.265",1,9,1,"0.607","-11.172",1,11,1,"1.429","-54.303",0,0,27,"0",0,0,27,"0","0",1,19,1,"7.750",1,17,1,"7.893","-124.760",1,6,1,"0.286",1,2,3,"0.143","-3.852",1,1,0,"0.036","4.488",1,17,1,"8.000","-133.101",17,1,"8.036","-128.612"
"B603",1,20,1,"1.857","-3.093",1,4,1,"0.214","-4.179",1,15,1,"1.143","-41.917",1,6,1,"0.321","-4.990",1,8,1,"0.821","11.890",1,7,1,"0.321",1,6,1,"0.357","9.562",1,17,1,"1.786",1,17,1,"2.179","-17.092",1,20,1,"2.250",1,18,1,"1.821","-34.759",1,3,0,"0.179","1.392",1,21,1,"4.179","-43.681",21,1,"4.357","-42.289"
"B604",1,9,1,"0.607","-2.532",1,2,1,"0.071","-0.895",1,5,1,"0.214","-0.014",1,2,0,"0.071","-0.633",1,5,0,"0.929","-17.232",1,3,3,"0.179",1,1,3,"0.107","-6.140",1,11,1,"1.464",1,11,1,"1.786","-15.167",1,5,6,"0.250",0,0,27,"0","0",1,8,1,"0.714","5.260",1,8,0,"1.179","-26.566",11,1,"1.893","-21.307"
"B605",1,18,2,"3.429","7.924",1,5,6,"0.214","-0.234",1,18,1,"1.321","3.204",1,14,0,"0.857","-11.095",1,14,1,"1.357","-23.307",1,11,2,"1.036",1,10,1,"0.786","19.222",1,16,3,"4.143",1,21,1,"4.536","-29.899",1,13,2,"2.000",1,15,2,"1.857","-12.830",1,14,1,"1.036","12.536",1,21,1,"6.143","-36.043",21,1,"7.179","-23.507"
"B607",1,19,1,"5.679","-48.574",1,3,1,"0.179","1.404",1,14,1,"1.821","26.880",1,8,1,"0.536","-8.988",1,13,1,"2.571","-112.979",1,3,7,"0.107",1,6,1,"0.250","-10.872",1,19,1,"10.357",1,19,1,"9.714","-131.354",1,9,1,"0.321",1,13,1,"0.821","-0.031",1,6,1,"0.321","-5.578",1,20,1,"10.464","-136.679",20,1,"10.786","-142.257"
"B612",1,20,1,"2.500","-7.585",1,8,6,"0.429","-8.104",1,13,0,"1.250","-49.514",1,10,0,"0.679","-20.969",1,7,1,"3.179","-64.070",1,3,1,"0.143",1,2,1,"0.071","-2.420",1,20,1,"7.143",1,20,0,"7.357","-140.291",1,10,2,"0.750",1,10,1,"0.607","-7.530",1,18,1,"1.964","-10.918",1,19,1,"6.071","-139.323",22,1,"8.036","-150.241"
"B613",1,19,1,"7.464","-80.213",1,4,1,"0.179","-1.329",1,19,1,"3.964","63.261",1,14,1,"1.286","72.661",1,11,1,"1.857","-26.984",1,18,1,"1.893",1,15,1,"1.357","29.467",1,19,1,"8.571",1,19,1,"9.214","-9.196",1,19,1,"4.286",1,19,1,"4.179","7.125",1,19,1,"4.143","38.470",1,20,1,"10.607","-11.075",20,1,"14.750","27.396"
"B618",1,11,2,"0.821","14.202",1,5,5,"0.214","0.346",1,6,1,"0.286","-2.946",1,4,2,"0.214","9.476",1,4,0,"0.607","29.200",1,3,1,"0.107",1,3,1,"0.107","1.411",1,8,3,"0.679",1,10,0,"1.071","18.046",1,10,2,"1.357",1,7,2,"0.964","30.821",1,11,0,"0.714","6.936",1,13,1,"1.429","43.342",14,1,"2.143","50.278"
"B624",1,22,1,"2.571","-13.326",1,6,2,"0.214","-4.404",1,16,1,"1.179","-23.912",1,12,0,"0.714","-70.777",1,9,1,"1.000","14.992",1,3,11,"0.107",1,2,1,"0.107","15.047",1,20,1,"3.429",1,20,1,"3.679","-80.485",1,18,1,"2.143",1,16,1,"1.893","-31.989",1,16,0,"1.893","-37.537",1,23,1,"3.786","-59.890",23,1,"5.679","-97.427"
"B627",1,11,3,"0.964","0.380",0,0,27,"0","0",1,6,6,"0.286","-1.088",1,4,0,"0.214","2.075",1,5,0,"1.000","-12.770",0,0,27,"0",0,0,27,"0","0",1,13,3,"2.214",1,12,0,"2.321","-18.452",1,6,3,"0.250",1,3,7,"0.143","7.049",1,5,0,"0.357","11.730",1,12,0,"2.107","-23.133",12,0,"2.464","-11.403"
"B628",1,19,1,"10.179","6.750",1,6,2,"0.464","-72.565",1,19,1,"5.714","-413.520",1,11,0,"1.679","-499.253",1,13,0,"1.786","-18.140",1,16,2,"3.571",1,16,2,"3.429","-301.326",1,19,1,"7.000",1,18,1,"7.750","-555.884",1,20,1,"9.250",1,19,1,"8.643","-139.519",1,20,1,"5.571","24.069",1,20,1,"14.250","-1,020.798",20,1,"19.821","-996.729"
"B630",1,18,1,"1.393","-1.168",1,4,13,"0.179","-1.612",1,12,0,"0.607","-10.669",1,6,1,"0.250","4.009",1,10,1,"1.250","-48.941",1,7,1,"0.536",1,6,1,"0.429","-21.882",1,20,1,"2.286",1,16,1,"2.679","-50.146",1,13,3,"0.857",1,9,1,"0.571","13.646",1,12,1,"1.286","41.393",1,17,1,"2.393","-99.774",21,1,"3.679","-58.382"
"B631",1,19,1,"2.250","0.119",1,10,1,"0.571","-3.626",1,17,1,"1.464","6.322",1,12,2,"0.964","31.920",1,8,0,"0.714","2.655",1,4,3,"0.143",1,2,1,"0.071","2.773",1,18,1,"3.571",1,19,1,"4.179","13.252",1,16,1,"2.250",1,13,1,"1.714","21.366",1,20,1,"2.821","-11.738",1,19,1,"3.143","49.128",21,1,"5.964","37.391"
"B633",1,16,1,"1.786","-11.584",1,1,24,"0.036","0.070",1,6,1,"0.429","-18.504",1,1,0,"0.036","2.520",1,13,1,"1.393","-28.343",1,2,7,"0.107",1,2,1,"0.143","-0.926",1,19,1,"2.964",1,16,1,"3.179","-49.949",1,13,2,"0.607",1,8,1,"0.357","-4.967",1,11,0,"1.143","-18.819",1,17,1,"2.536","-37.023",17,1,"3.679","-55.842"
"B639",1,18,2,"1.857","-22.427",1,5,6,"0.250","-1.534",1,10,0,"0.821","0.519",1,7,0,"0.500","3.781",1,10,0,"1.071","1.145",1,4,5,"0.143",1,1,5,"0.036","0.002",1,15,2,"2.286",1,14,0,"2.536","-52.574",1,15,2,"2.071",1,15,2,"1.929","34.054",1,13,0,"1.107","-14.241",1,19,0,"3.393","-4.276",20,0,"4.500","-18.517"
"B643",1,8,1,"0.393","1.141",1,2,3,"0.107","-17.748",1,1,0,"0.036","-0.102",1,1,2,"0.036","-1.631",1,7,1,"0.679","-19.549",1,2,8,"0.071",0,0,27,"0","0",1,11,1,"0.464",1,5,0,"0.714","-17.411",1,11,1,"0.714",1,7,1,"0.536","-20.478",1,3,0,"0.250","-33.468",1,10,1,"1.000","-4.422",11,1,"1.250","-37.890"
"B645",1,16,1,"1.393","-0.054",1,5,1,"0.214","-0.186",1,9,1,"0.571","-5.059",1,4,2,"0.143","2.306",1,11,1,"0.750","-47.082",1,1,15,"0.036",1,2,2,"0.071","0.648",1,18,1,"2.714",1,17,1,"2.821","-49.866",1,8,1,"0.321",1,3,1,"0.179","-0.857",1,16,1,"2.607","-73.959",1,6,0,"0.464","23.884",18,1,"3.071","-50.075"
"B647",1,19,1,"6.393","-22.022",1,12,1,"1.250","15.962",1,21,1,"4.143","-40.347",1,10,0,"0.929","-6.052",1,10,1,"2.179","-41.833",1,16,1,"1.357",1,15,1,"1.571","10.053",1,13,1,"3.357",1,17,1,"4.536","-70.480",1,19,1,"10.179",1,18,1,"8.786","-33.865",1,19,1,"4.714","5.199",1,22,1,"10.179","-99.491",22,1,"14.893","-94.292"
"B648",1,17,1,"1.286","0.564",1,12,1,"0.464","-0.507",1,7,1,"0.536","-11.204",1,5,1,"0.179","-1.389",1,11,1,"1.321","-34.916",1,4,2,"0.143",1,3,2,"0.179","-7.668",1,21,1,"3.357",1,19,1,"3.214","-19.576",1,7,6,"0.286",1,8,1,"0.393","-20.209",1,8,0,"0.679","-2.637",1,18,1,"3.107","-44.816",19,1,"3.786","-47.453"
"B653",1,18,1,"4.179","-7.228",1,2,2,"0.071","-0.494",1,17,1,"1.357","6.623",1,12,0,"1.000","59.838",1,13,1,"1.357","2.273",1,3,7,"0.143",1,6,7,"0.214","9.205",1,18,1,"5.536",1,19,1,"5.357","45.171",1,15,1,"2.286",1,14,1,"2.393","6.636",1,20,1,"3.250","9.568",1,19,1,"4.714","51.444",20,1,"7.964","61.012"
"B657",1,17,1,"1.714","-1.089",0,0,27,"0","0",1,11,1,"0.536","7.663",1,9,0,"0.393","11.371",1,6,0,"0.786","-43.323",1,1,1,"0.036",1,4,1,"0.143","9.472",1,17,1,"3.143",1,18,1,"2.964","-32.003",1,7,1,"0.250",1,6,1,"0.321","-2.848",1,7,0,"0.607","-75.266",1,17,1,"2.821","49.888",18,1,"3.429","-25.379"
"B660",1,15,1,"0.821","13.114",0,0,27,"0","0",1,6,1,"0.429","7.018",1,5,0,"0.250","7.359",1,7,1,"1.036","-86.681",1,2,14,"0.071",0,0,27,"0","0",1,16,1,"2.214",1,14,1,"2.143","-79.495",1,5,6,"0.250",1,10,1,"0.393","20.305",1,2,0,"0.179","-27.624",1,16,1,"2.357","-31.566",16,1,"2.536","-59.190"
"B664",1,18,1,"5.429","-28.707",1,13,2,"0.714","-73.170",1,16,1,"2.714","-30.475",1,9,2,"0.964","-12.521",1,9,0,"1.143","-1.492",1,4,2,"0.143",1,1,2,"0.036","-0.464",1,18,1,"3.929",1,18,1,"3.929","-11.033",1,18,1,"6.893",1,18,1,"7.000","-134.867",1,1,0,"0.107","-6.059",1,19,1,"10.857","-140.305",19,1,"10.964","-146.364"
